date,hour,energy_kWh
2015-06-21,18,0.776
2015-06-21,19,0.77
2015-06-21,20,0.824
2015-06-21,21,1.049
2015-06-21,22,1.288
2015-06-21,23,1.063
2015-06-22,0,0.848
2015-06-22,1,0.779
2015-06-22,2,0.738
2015-06-22,3,0.708
2015-06-22,4,0.722
2015-06-22,5,0.737
2015-06-22,6,0.787
2015-06-22,7,1.252
2015-06-22,8,0.958
2015-06-22,9,0.793
2015-06-22,10,0.821
2015-06-22,11,0.804
2015-06-22,12,0.828
2015-06-22,13,1.029
2015-06-22,14,0.917
2015-06-22,15,0.747
2015-06-22,16,1.71
2015-06-22,17,2.542
2015-06-22,18,2.235
2015-06-22,19,1.444
2015-06-22,20,0.921
2015-06-22,21,1.198
2015-06-22,22,1.151
2015-06-22,23,0.685
2015-06-23,0,0.584
2015-06-23,1,0.636
2015-06-23,2,0.598
2015-06-23,3,0.63
2015-06-23,4,0.597
2015-06-23,5,0.612
2015-06-23,6,0.687
2015-06-23,7,1.272
2015-06-23,8,0.728
2015-06-23,9,0.748
2015-06-23,10,0.82
2015-06-23,11,1.091
2015-06-23,12,0.722
2015-06-23,13,0.616
2015-06-23,14,0.673
2015-06-23,15,0.797
2015-06-23,16,1.166
2015-06-23,17,1.429
2015-06-23,18,3.338
2015-06-23,19,0.894
2015-06-23,20,0.751
2015-06-23,21,0.814
2015-06-23,22,3.458
2015-06-23,23,0.783
2015-06-24,0,0.654
2015-06-24,1,0.595
2015-06-24,2,0.622
2015-06-24,3,0.607
2015-06-24,4,0.618
2015-06-24,5,0.579
2015-06-24,6,0.65
2015-06-24,7,1.197
2015-06-24,8,0.731
2015-06-24,9,0.707
2015-06-24,10,0.861
2015-06-24,11,0.694
2015-06-24,12,0.593
2015-06-24,13,0.61
2015-06-24,14,0.691
2015-06-24,15,0.622
2015-06-24,16,0.778
2015-06-24,17,0.866
2015-06-24,18,1.046
2015-06-24,19,0.899
2015-06-24,20,0.818
2015-06-24,21,0.803
2015-06-24,22,0.877
2015-06-24,23,0.604
2015-06-25,0,0.601
2015-06-25,1,0.602
2015-06-25,2,0.6
2015-06-25,3,0.613
2015-06-25,4,0.65
2015-06-25,5,0.646
2015-06-25,6,0.695
2015-06-25,7,1.083
2015-06-25,8,0.613
2015-06-25,9,0.62
2015-06-25,10,0.568
2015-06-25,11,0.601
2015-06-25,12,0.601
2015-06-25,13,0.584
2015-06-25,14,0.604
2015-06-25,15,0.599
2015-06-25,16,0.83
2015-06-25,17,0.748
2015-06-25,18,1.763
2015-06-25,19,2.479
2015-06-25,20,1.177
2015-06-25,21,0.867
2015-06-25,22,0.993
2015-06-25,23,0.659
2015-06-26,0,0.648
2015-06-26,2,0.653
2015-06-26,3,0.657
2015-06-26,4,0.641
2015-06-26,5,0.644
2015-06-26,6,0.686
2015-06-26,7,1.151
2015-06-26,8,0.621
2015-06-26,9,0.605
2015-06-26,10,0.6
2015-06-26,11,0.599
2015-06-26,12,0.62
2015-06-26,13,0.617
2015-06-26,14,0.59
2015-06-26,15,0.602
2015-06-26,16,0.589
2015-06-26,17,0.78
2015-06-26,18,1.371
2015-06-26,19,4.56
2015-06-26,20,1.728
2015-06-26,21,0.834
2015-06-26,22,0.824
2015-06-26,23,0.708
2015-06-27,0,0.632
2015-06-27,1,0.672
2015-06-27,2,0.656
2015-06-27,3,0.675
2015-06-27,4,0.666
2015-06-27,5,0.667
2015-06-27,6,0.725
2015-06-27,7,0.681
2015-06-27,8,0.658
2015-06-27,9,0.818
2015-06-27,10,0.908
2015-06-27,11,1.106
2015-06-27,12,1.052
2015-06-27,13,0.947
2015-06-27,14,0.732
2015-06-27,15,0.721
2015-06-27,16,2.283
2015-06-27,17,1.973
2015-06-27,18,0.599
2015-06-27,19,1.237
2015-06-27,20,2.253
2015-06-27,21,0.587
2015-06-27,22,0.579
2015-06-27,23,0.594
2015-06-28,0,0.587
2015-06-28,1,0.58
2015-06-28,2,0.594
2015-06-28,3,0.701
2015-06-28,4,0.639
2015-06-28,5,0.633
2015-06-28,6,0.618
2015-06-28,7,0.617
2015-06-28,8,0.61
2015-06-28,9,0.626
2015-06-28,10,0.621
2015-06-28,11,0.598
2015-06-28,12,0.609
2015-06-28,13,1.502
2015-06-28,14,3.059
2015-06-28,15,1.422
2015-06-28,16,0.556
2015-06-28,17,0.571
2015-06-28,18,0.579
2015-06-28,19,0.574
2015-06-28,20,0.584
2015-06-28,21,0.552
2015-06-28,22,0.565
2015-06-28,23,0.574
2015-06-29,0,0.653
2015-06-29,1,0.608
2015-06-29,2,0.564
2015-06-29,3,0.607
2015-06-29,4,0.625
2015-06-29,5,0.603
2015-06-29,6,0.603
2015-06-29,7,0.593
2015-06-29,8,0.612
2015-06-29,9,0.623
2015-06-29,10,0.588
2015-06-29,11,0.626
2015-06-29,12,0.62
2015-06-29,13,0.611
2015-06-29,14,0.609
2015-06-29,15,0.593
2015-06-29,16,0.612
2015-06-29,17,0.613
2015-06-29,18,0.614
2015-06-29,19,0.913
2015-06-29,20,1.506
2015-06-29,21,1.052
2015-06-29,22,3.711
2015-06-29,23,3.963
2015-06-30,0,0.908
2015-06-30,1,0.592
2015-06-30,2,0.626
2015-06-30,3,0.631
2015-06-30,4,0.613
2015-06-30,5,0.615
2015-06-30,6,0.676
2015-06-30,7,1.159
2015-06-30,8,0.632
2015-06-30,9,0.689
2015-06-30,10,0.644
2015-06-30,11,0.613
2015-06-30,12,0.607
2015-06-30,13,0.622
2015-06-30,14,0.61
2015-06-30,15,0.608
2015-06-30,16,0.85
2015-06-30,17,0.913
2015-06-30,18,1.061
2015-06-30,19,1.103
2015-06-30,20,2.918
2015-06-30,21,2.359
2015-06-30,22,0.777
2015-06-30,23,0.806
2015-07-01,0,0.689
2015-07-01,1,0.611
2015-07-01,2,0.627
2015-07-01,3,0.623
2015-07-01,4,0.615
2015-07-01,5,0.622
2015-07-01,6,0.604
2015-07-01,7,0.615
2015-07-01,8,0.665
2015-07-01,9,0.836
2015-07-01,10,0.791
2015-07-01,11,0.759
2015-07-01,12,0.64
2015-07-01,13,0.652
2015-07-01,14,0.617
2015-07-01,15,0.624
2015-07-01,16,0.63
2015-07-01,17,2.292
2015-07-01,18,3.709
2015-07-01,19,3.554
2015-07-01,20,3.491
2015-07-01,21,5.672
2015-07-01,22,1.692
2015-07-01,23,1.207
2015-07-02,0,0.763
2015-07-02,1,0.651
2015-07-02,2,0.692
2015-07-02,3,0.716
2015-07-02,4,0.707
2015-07-02,5,0.718
2015-07-02,6,0.878
2015-07-02,7,1.127
2015-07-02,8,0.811
2015-07-02,9,0.785
2015-07-02,10,0.799
2015-07-02,11,0.939
2015-07-02,12,0.817
2015-07-02,13,0.899
2015-07-02,14,2.091
2015-07-02,15,3.045
2015-07-02,16,3.438
2015-07-02,17,3.254
2015-07-02,18,3.172
2015-07-02,19,3.143
2015-07-02,20,3.43
2015-07-02,21,2.758
2015-07-02,22,1.477
2015-07-02,23,0.915
2015-07-03,0,0.704
2015-07-03,1,0.782
2015-07-03,2,0.736
2015-07-03,3,0.709
2015-07-03,4,0.697
2015-07-03,5,0.695
2015-07-03,6,0.785
2015-07-03,7,1.09
2015-07-03,8,0.717
2015-07-03,9,0.751
2015-07-03,10,0.715
2015-07-03,11,0.956
2015-07-03,12,0.779
2015-07-03,13,0.793
2015-07-03,14,0.742
2015-07-03,15,0.686
2015-07-03,16,2.011
2015-07-03,17,3.418
2015-07-03,18,3.916
2015-07-03,19,2.539
2015-07-03,20,1.177
2015-07-03,21,1.273
2015-07-03,22,1.38
2015-07-03,23,1.285
2015-07-04,0,1.152
2015-07-04,1,0.753
2015-07-04,2,0.699
2015-07-04,3,0.714
2015-07-04,4,0.697
2015-07-04,5,0.721
2015-07-04,6,0.71
2015-07-04,7,0.738
2015-07-04,8,1.025
2015-07-04,9,2.521
2015-07-04,10,1.634
2015-07-04,11,0.884
2015-07-04,12,0.734
2015-07-04,13,0.879
2015-07-04,14,0.708
2015-07-04,15,0.729
2015-07-04,16,2.351
2015-07-04,17,3.553
2015-07-04,18,3.486
2015-07-04,19,3.901
2015-07-04,20,1.449
2015-07-04,21,1.078
2015-07-04,22,1.464
2015-07-04,23,0.902
2015-07-05,0,0.7
2015-07-05,1,0.707
2015-07-05,2,0.713
2015-07-05,3,0.734
2015-07-05,4,0.713
2015-07-05,5,0.713
2015-07-05,6,0.712
2015-07-05,7,0.702
2015-07-05,8,0.711
2015-07-05,9,0.962
2015-07-05,10,1.261
2015-07-05,11,0.878
2015-07-05,12,1.308
2015-07-05,13,2.707
2015-07-05,14,1.873
2015-07-05,15,1.646
2015-07-05,16,3.492
2015-07-05,17,3.672
2015-07-05,18,4.3
2015-07-05,19,3.886
2015-07-05,20,3.267
2015-07-05,21,1.518
2015-07-05,22,2.688
2015-07-05,23,2.156
2015-07-06,0,1.406
2015-07-06,1,0.73
2015-07-06,2,0.741
2015-07-06,3,0.75
2015-07-06,4,0.755
2015-07-06,5,0.848
2015-07-06,6,0.802
2015-07-06,7,1.214
2015-07-06,8,0.839
2015-07-06,9,0.814
2015-07-06,10,0.768
2015-07-06,11,0.693
2015-07-06,12,0.769
2015-07-06,13,0.83
2015-07-06,14,0.745
2015-07-06,15,0.817
